TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
119263,Pinus radiata :: Monterey Pine,495X Lakeshore Dr,Median : Yard,,10x30,,
22346,Lophostemon confertus :: Brisbane Box,5280 03rd St,Sidewalk: Curb side : Cutout,3,3x3,37.7295482207565,-122.392689419827
23567,Platanus x hispanica :: Sycamore: London Plane,2975 Van Ness Ave,Sidewalk: Curb side : Cutout,3,3X3,37.8030467266869,-122.425063628702
10933,Lophostemon confertus :: Brisbane Box,1359 Hudson Ave,Sidewalk: Curb side : Cutout,12,3X4,37.7374318223223,-122.384063092353
28375,Magnolia grandiflora :: Southern Magnolia,3014 Sacramento St,Sidewalk: Curb side : Cutout,3,3x3,37.7887579085949,-122.442978542939
17325,Fraxinus americana :: American Ash,150 Otis St,Sidewalk: Curb side : Cutout,3,3x3,37.7709543699737,-122.420355751511
25725,Platanus x hispanica :: Sycamore: London Plane,729 Grove St,Sidewalk: Curb side : Cutout,12,3X3,37.7770527158877,-122.428697236196
188665,Acacia melanoxylon :: Blackwood Acacia,2175X Palou Ave,Sidewalk: Curb side : Cutout,37,,37.7406066539877,-122.402212916691
6251,Acacia melanoxylon :: Blackwood Acacia,1315 Ellis St,Sidewalk: Curb side : Cutout,24,3X3,37.7828532389184,-122.428176124144
9895,Eucalyptus Spp :: Eucalyptus,1800X Pine St,Sidewalk: Curb side : Cutout,18,3X3,37.7889474242075,-122.426360597873
220007,Acacia baileyana :: Bailey's Acacia,929 Valencia St,Sidewalk: Curb side : Cutout,1,Width 3ft,37.7579627654961,-122.421110461684
18916,Olea europaea :: Olive Tree,2621 Sacramento St,Sidewalk: Curb side : Cutout,14,6x5,37.7895026155894,-122.4361187581
228561,Lophostemon confertus :: Brisbane Box,700 Valencia St,Sidewalk: Curb side : Cutout,7,Width 3ft,37.7615653191939,-122.421675835773